"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego";"Data założenia";"Data likwidacji"
43740;"Liceum ogólnokształcące";"MUNDUROWE LICEUM OGÓLNOKSZTAŁCĄCE W ŁODZI";"ul. Klaretyńska";"9 ";" ";"91-117 ";Łódź-Bałuty;08476;0957666;1061029;"4268121111 ";" ";sekretariat@liceummundurowe.pl;http://www.liceummundurowe.pl;ŁÓDZKIE;Łódź;"Łódź-Bałuty - delegatura";"101498619 ";"9223004620 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Magdalena Muraszewska";"EDU FORCE SPÓŁKA Z O.O.";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Bałuty;2010-11-08;
25291;"Liceum ogólnokształcące";"XV LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA KASPROWICZA";"ul. Traktorowa";"77 ";" ";"91-204 ";Łódź-Bałuty;22937;0957666;1061029;"422529803 ";" ";kontakt@lo15.elodz.edu.pl;http://www.xvlo.lodz.pl;ŁÓDZKIE;Łódź;"Łódź-Bałuty - delegatura";"000217395 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Ewa Kaczorowska";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
27325;"Liceum ogólnokształcące";"XLII LICEUM OGÓLNOKSZTAŁCĄCE IM. IRENY SENDLEROWEJ";"ul. Stawowa";"28 ";" ";"91-358 ";Łódź-Bałuty;21101;0957666;1061029;"426592076 ";" ";zso4lodz@op.pl;http://www.lo42lodz.pl;ŁÓDZKIE;Łódź;"Łódź-Bałuty - delegatura";"471030039 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"LUCYNA GÓRNA";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
25290;"Liceum ogólnokształcące";"XIII LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII PIOTROWICZOWEJ";"ul. Eliasza Chaima Majzela";"4 ";" ";"91-430 ";Łódź-Bałuty;53149;0957666;1061029;"426575528 ";"426571754 ";kontakt@lo13.elodz.edu.pl;http://13lo.edu.pl;ŁÓDZKIE;Łódź;"Łódź-Bałuty - delegatura";"000216852 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"ALEKSANDRA RATUSZNIAK";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
38981;"Liceum ogólnokształcące";"LV LICEUM OGÓLNOKSZTAŁCĄCE W ZESPOLE SZKÓŁ ELEKTRONICZNO-INFORMATYCZNYCH IM. JANA SZCZEPANIKA";"ul. Strykowska";"10/18 ";" ";"91-725 ";Łódź-Bałuty;21347;0957666;1061029;"426562911 ";" ";;http://;ŁÓDZKIE;Łódź;"Łódź-Bałuty - delegatura";"472849652 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";;"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
272724;"Liceum ogólnokształcące";"CZTEROLETNIE LICEUM OGÓLNOKSZTAŁCĄCE";"ul. Traktorowa";"35 ";" ";"91-117 ";Łódź-Bałuty;22937;0957666;1061029;" ";" ";magdalenawlodarczyk82@wp.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Bałuty - delegatura";"384281398 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"MAGDALENA WŁODARCZYK-WALSH";"Magdalena Włodarczyk-Walsh";"Osoba fizyczna";ŁÓDZKIE;Łódź;Łódź-Bałuty;2019-08-20;
271690;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE ""ŁÓDKA""";"ul. Rzgowska";"17A ";" ";"93-008 ";Łódź-Górna;19377;0957985;1061039;"426826204 ";" ";;http://;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"383531031 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"MARCIN GOŁDA";"ABIS SP. Z O.O.";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź;2019-05-27;
25441;"Liceum ogólnokształcące";"XXXI LICEUM OGÓLNOKSZTAŁCĄCE IM. LUDWIKA ZAMENHOFA";"ul. Konspiracyjnego Wojska Polskiego";"5b ";" ";"93-236 ";Łódź-Górna;53152;0957985;1061039;"426431415 ";"426431415 ";kontakt@lo31.elodz.edu.pl;http://lo31.pl;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"000217403 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Ewa Łoś";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
39067;"Liceum ogólnokształcące";"KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE STOWARZYSZENIA PRZYJACIÓŁ SZKÓŁ KATOLICKICH W ŁODZI BŁ. MATKI TERESY Z KALKUTY";"ul. Zofii Nałkowskiej";"2 ";" ";"93-262 ";Łódź-Górna;13967;0957985;1061039;"426434612 ";" ";lodz@spsk.info.pl;http://www.lodz.spsk.pl;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"101489419 ";"9820311850 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Marek Woźniak";"STOWARZYSZENIE PRZYJACIÓŁ SZKÓŁ KATOLICKICH";Stowarzyszenia;ŚLĄSKIE;Częstochowa;Częstochowa;2006-04-13;
25445;"Liceum ogólnokształcące";"XX LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIUSZA SŁOWACKIEGO";"ul. Karola Bohdanowicza";"11 ";" ";"93-552 ";Łódź-Górna;01692;0957985;1061039;"426482819 ";"426482819 ";kontakt@lo20.elodz.edu.pl;http://www.loxxlodz.wikom.pl;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"000217047 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Elżbieta Nowicka";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
266024;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH ""EDUKACJA I SPORT""";"ul. Brzozowa";"5/7 ";"bud. A ";"93-101 ";Łódź-Górna;02276;0957985;1061039;" ";" ";kontakt@fundacjaeis.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"369152480 ";" ";niepubliczna;Dorośli;"brak specyfiki";"TOMASZ JĘK";"FUNDACJA  ""EDUKACJA I SPORT""";Fundacje;ŁÓDZKIE;Łódź;Łódź-Bałuty;2017-12-21;
22522;"Liceum ogólnokształcące";"VI LICEUM OGÓLNOKSZTAŁCĄCE IM. JOACHIMA LELEWELA";"ul. Deotymy";"1 ";" ";"93-267 ";Łódź-Górna;03762;0957985;1061039;"426842220 ";" ";kontakt@lo6.elodz.edu.pl;http://www.lo6.szkoly.lodz.pl;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"000931974 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"MAŁGORZATA CABAN";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
27378;"Liceum ogólnokształcące";"XLIII LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIANA TUWIMA";"ul. Królewska";"13/15 ";" ";"93-319 ";Łódź-Górna;09987;0957985;1061039;"426403441 ";" ";zso5lodz@onet.eu;http://;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"471029958 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"ANNA KACZOROWSKA";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
267850;"Liceum ogólnokształcące";"SZKOŁA EUROPEJSKA LICEUM OGÓLNOKSZTAŁCĄCE";"ul. Tuszyńska";"31 ";" ";"93-020 ";Łódź-Górna;23191;0957985;1061039;"426825466 ";" ";;http://;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"380698948 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"URSZULA MORYC";"URSZULA MORYC";"Osoba fizyczna";ŁÓDZKIE;Łódź;Łódź;2018-05-16;
29723;"Liceum ogólnokształcące";"SZKOŁA MISTRZOSTWA SPORTOWEGO IM. KAZIMIERZA GÓRSKIEGO W ŁODZI - LICEUM OGÓLNOKSZTAŁCĄCE";"ul. Milionowa";"12 ";" ";"93-193 ";Łódź-Górna;12938;0957985;1061039;"42254-05-70 ";" ";sekretariat@smslodz.pl;http://www.smslodz.pl;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"101481760 ";"7292320004 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Roman Stępień";"MAŁGORZATA JAŁKIEWICZHOFFMANN";"Osoba fizyczna";ŁÓDZKIE;Łódź;Łódź;1998-03-30;
111322;"Liceum ogólnokształcące";"LVIII LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE";"ul. Siedlecka";"7/21 ";" ";"93-138 ";Łódź-Górna;19769;0957985;1061039;"426845148 ";"426846019 ";sosw1lodz@poczta.onet.pl;http://sosw1szkoly.lodz.pl;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"101567941 ";" ";publiczna;Dorośli;"brak specyfiki";;"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;2012-09-01;
22524;"Liceum ogólnokształcące";"IX LICEUM OGÓLNOKSZTAŁCĄCE IM. JAROSŁAWA DĄBROWSKIEGO";"ul. Ignacego Paderewskiego";"24 ";" ";"93-025 ";Łódź-Górna;15529;0957985;1061039;"426842445 ";" ";lo9@toya.net.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"000216674 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"AGNIESZKA GĘBORA";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
25360;"Liceum ogólnokształcące";"XXV LICEUM OGÓLNOKSZTAŁCĄCE IM. STEFANA ŻEROMSKIEGO";"ul. Podhalańska";"2a ";" ";"93-224 ";Łódź-Górna;16756;0957985;1061039;"422531050 ";" ";kontakt@lo25.elodz.edu.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"000217231 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"BOGUMIŁA ZIÓŁKOWSKA - PAWLAK";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
269694;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE ZNP";"ul. Scaleniowa";"6 ";" ";"93-436 ";Łódź-Górna;19588;0957985;1061039;"426801936 ";" ";szkolyZNP@poczta.fm;http://gimznp.szkoly.pl;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"381676788 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";;"ZWIĄZEK NAUCZYCIELSTWA POLSKIEGO ZARZĄD GŁÓWNY";"Organizacje Związkowe";MAZOWIECKIE;Warszawa;Śródmieście;2018-10-29;
31606;"Liceum ogólnokształcące";"PUBLICZNE LICEUM OGÓLNOKSZTAŁCĄCE POLITECHNIKI ŁÓDZKIEJ";"ul. Ludomira Różyckiego";"5 ";" ";"93-586 ";Łódź-Górna;19021;0957985;1061039;"426312086 ";" ";liceum@p.lodz.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"101483523 ";"7270021895 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"TOMASZ KOZERA";"POLITECHNIKA ŁÓDZKA";"Szkoły Wyższe Publiczne";ŁÓDZKIE;Łódź;Łódź-Polesie;2006-11-30;
264015;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO ""SZKOŁA MISTRZÓW KOKORO"" - CENTRUM PRZYGOTOWAŃ OLIMPIJSKICH";"ul. Krochmalna";"15 ";" ";"93-144 ";Łódź-Górna;09934;0957985;1061039;" ";" ";sekretariat@kokoro.szkola.pl;http://www.kokoro.szkola.pl;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"368249250 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"GRAŻYNA WOJDYŁA";"KLUB SPORTOWY ""KOKORO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Górna;2017-09-06;
111278;"Liceum ogólnokształcące";"LVII LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE";"ul. Siedlecka";"7/21 ";" ";"93-138 ";Łódź-Górna;19769;0957985;1061039;"426845148 ";"426846019 ";sosw1lodz@poczta.onet.pl;http://sosw1szkoly.lodz.pl;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"101567668 ";" ";publiczna;"Dzieci lub młodzież";specjalna;;"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;2012-09-01;
34914;"Liceum ogólnokształcące";"SZKOŁA MISTRZOSTWA SPORTOWEGO LICEUM OGÓLNOKSZTAŁCĄCE MARCINA GORTATA";"ul. Rzgowska";"17A ";" ";"93-008 ";Łódź-Górna;19377;0957985;1061039;"422071014 ";" ";sekretariat@szkolagortata.pl;http://szkolagortata.pl;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"101482742 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"KATARZYNA SNUSZKA";"MG13 SP. Z O.O.";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Śródmieście;2011-08-11;
272794;"Liceum ogólnokształcące";"NIEPUBLICZNE LICEUM OGÓLNOKSZTAŁCĄCE Z ASPI-RACJAMI";"ul. Obywatelska";"57 ";" ";"93-558 ";Łódź-Górna;14686;0957985;1061039;" ";" ";biuro@aspi-racjami.org;http://;ŁÓDZKIE;Łódź;"Łódź-Górna - delegatura";"384292580 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"ILONA KRASKA";"FUNDACJA Z ASPI-RACJAMI";Fundacje;ŁÓDZKIE;Łódź;Łódź-Bałuty;2019-08-30;
123050;"Liceum ogólnokształcące";"SZKOŁA  MISTRZOSTWA  SPORTOWEGO  LICEUM  OGÓLNOKSZTAŁCĄCE  ""COSINUS- ŁKS"" W ŁODZI";"ul. Wólczańska";"81 ";" ";"90-515 ";Łódź-Polesie;24797;0958269;1061049;"426325220 ";" ";;http://;ŁÓDZKIE;Łódź;"Łódź-Polesie - delegatura";"101776018 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Anna Szymczyk";"TOSS SP. Z O. O.";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Śródmieście;2014-04-30;
25443;"Liceum ogólnokształcące";"XXXIII LICEUM OGÓLNOKSZTAŁCĄCE IM. ARMII KRAJOWEJ";"ul. Janusza Kusocińskiego";"116 ";" ";"94-004 ";Łódź-Polesie;10493;0958269;1061049;"426881565 ";" ";lo33@toya.net.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Polesie - delegatura";"004345374 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"ANNA PIOTROWSKA";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
25292;"Liceum ogólnokształcące";"XVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. JĘDRZEJA ŚNIADECKIEGO";"ul. Feliksa Perla";"11 ";" ";"94-203 ";Łódź-Polesie;15948;0958269;1061049;"426339323 ";"426339323 ";sekretariat@liceum18lodz.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Polesie - delegatura";"472911820 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Monika Antosiak";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
22517;"Liceum ogólnokształcące";"I LICEUM OGÓLNOKSZTAŁCĄCE IM. MIKOŁAJA KOPERNIKA";"ul. płk. dr. Stanisława Więckowskiego";"41 ";" ";"90-734 ";Łódź-Polesie;24226;0958269;1061049;"426362722 ";" ";kontakt@lo1.elodz.edu.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Polesie - delegatura";"000731420 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Ewa Wojciechowska";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
82653;"Liceum ogólnokształcące";"SPOŁECZNE LICEUM OGÓLNOKSZTAŁCĄCE TOWARZYSTWA OŚWIATOWEGO ""LYKEION""";"ul. Rajdowa";"13 ";" ";"94-003 ";Łódź-Polesie;18394;0958269;1061049;"426868687 ";" ";lykeion@lykeion.edu.pl;http://www.lykeion.edu.pl;ŁÓDZKIE;Łódź;"Łódź-Polesie - delegatura";"101499027 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"WIOLETTA SZUBKA";"TOWARZYSTWO OŚWIATOWE ""LYKEION""";"Organizacje Społeczne inne niż wymienione";ŁÓDZKIE;Łódź;Łódź;1993-09-01;
25627;"Liceum ogólnokształcące";"XXXIV LICEUM OGÓLNOKSZTAŁCĄCE IM. KRZYSZTOFA KIEŚLOWSKIEGO";"ul. Wapienna";"17 ";" ";"91-087 ";Łódź-Polesie;23624;0958269;1061049;"426533991 ";"426533993 ";kontakt@lo34.elodz.edu.pl;http://;ŁÓDZKIE;Łódź;"Łódź-Polesie - delegatura";"472407279 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"DARIUSZ JAKÓBEK";"ŁÓDŹ-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŁÓDZKIE;Łódź;Łódź-Śródmieście;1999-01-01;
